Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2016","2016","1000 US$","26803","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2017","2017","1000 US$","31805","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2018","2018","1000 US$","37720","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2019","2019","1000 US$","39843","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2020","2020","1000 US$","46115","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2021","2021","1000 US$","49954","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","1998","1998","tonnes","4","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","1999","1999","tonnes","3","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2000","2000","tonnes","5","T","Unofficial figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2001","2001","tonnes","13","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2002","2002","tonnes","28","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2003","2003","tonnes","12","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2004","2004","tonnes","30","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2005","2005","tonnes","42","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2006","2006","tonnes","52","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2007","2007","tonnes","91","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2008","2008","tonnes","97","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2009","2009","tonnes","113","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2010","2010","tonnes","173","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2011","2011","tonnes","229","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2012","2012","tonnes","255","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2013","2013","tonnes","482","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2014","2014","tonnes","743.59","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2015","2015","tonnes","1441.12","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2016","2016","tonnes","387.8","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2017","2017","tonnes","730.77","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2018","2018","tonnes","1501.22","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01311","Avocados","2019","2019","tonnes","2381.41","A","Official figure"
